"position","row_id","entrez_id","symbol","group","source"
272,"gene2812","2812","GP1BB","CUR_10","Reactome (reactome.db 1.95.0)"
273,"gene3067","3067","HDC","CUR_05","Reactome (reactome.db 1.95.0)"
274,"gene1595","1595","CYP51A1","CUR_03","Reactome (reactome.db 1.95.0)"
275,"gene54543","54543","TOMM7","CUR_16","Reactome (reactome.db 1.95.0)"
276,"gene116844","116844","LRG1","CUR_04","Reactome (reactome.db 1.95.0)"
277,"gene7264","7264","GFUS","CUR_08","Reactome (reactome.db 1.95.0)"
278,"gene83666","83666","PARP9","CUR_06","Reactome (reactome.db 1.95.0)"
279,"gene6222","6222","RPS18","CUR_17","Reactome (reactome.db 1.95.0)"
280,"gene9491","9491","PSMF1","CUR_08","Reactome (reactome.db 1.95.0)"
281,"gene596","596","BCL2","CUR_06","Reactome (reactome.db 1.95.0)"
282,"gene6234","6234","RPS28","CUR_17","Reactome (reactome.db 1.95.0)"
283,"gene2288","2288","FKBP4","CUR_06","Reactome (reactome.db 1.95.0)"
284,"gene6590","6590","SLPI","CUR_04","Reactome (reactome.db 1.95.0)"
285,"gene896","896","CCND3","CUR_01","Reactome (reactome.db 1.95.0)"
286,"gene3792","3792","KEL","CUR_02","Reactome (reactome.db 1.95.0)"
287,"gene259197","259197","NCR3","CUR_15","Reactome (reactome.db 1.95.0)"
288,"gene401258","401258","RAB44","CUR_04","Reactome (reactome.db 1.95.0)"
289,"gene6208","6208","RPS14","CUR_17","Reactome (reactome.db 1.95.0)"
290,"gene8685","8685","MARCO","CUR_10","Reactome (reactome.db 1.95.0)"
291,"gene131870","131870","NUDT16","CUR_05","Reactome (reactome.db 1.95.0)"
292,"gene8807","8807","IL18RAP","CUR_07","Reactome (reactome.db 1.95.0)"
293,"gene27343","27343","POLL","CUR_06","Reactome (reactome.db 1.95.0)"
294,"gene8671","8671","SLC4A4","CUR_09","Reactome (reactome.db 1.95.0)"
295,"gene100133941","100133941","CD24","CUR_16","Reactome (reactome.db 1.95.0)"
296,"gene9997","9997","SCO2","CUR_01","Reactome (reactome.db 1.95.0)"
297,"gene6510","6510","SLC1A5","CUR_11","Reactome (reactome.db 1.95.0)"
298,"gene6708","6708","SPTA1","CUR_10","Reactome (reactome.db 1.95.0)"
