"position","row_id","entrez_id","symbol","group","source"
441,"gene6155","6155","RPL27","FM_05","scGPT"
442,"gene6160","6160","RPL31","FM_05","scGPT"
443,"gene162966","162966","ZNF600","FM_02","scGPT"
444,"gene3728","3728","JUP","FM_11","scGPT"
445,"gene26289","26289","AK5","FM_01","scGPT"
446,"gene2768","2768","GNA12","FM_03","scGPT"
447,"gene26268","26268","FBXO9","FM_08","scGPT"
448,"gene6647","6647","SOD1","FM_18","scGPT"
449,"gene7320","7320","UBE2B","FM_01","scGPT"
450,"gene3430","3430","IFI35","FM_09","scGPT"
451,"gene389","389","RHOC","FM_11","scGPT"
452,"gene4261","4261","CIITA","FM_14","scGPT"
453,"gene65018","65018","PINK1","FM_17","scGPT"
454,"gene146850","146850","PIK3R6","FM_02","scGPT"
455,"gene301","301","ANXA1","FM_07","scGPT"
456,"gene63893","63893","UBE2O","FM_03","scGPT"
457,"gene6886","6886","TAL1","FM_08","scGPT"
458,"gene54498","54498","SMOX","FM_08","scGPT"
459,"gene57630","57630","SH3RF1","FM_01","scGPT"
460,"gene1471","1471","CST3","FM_11","scGPT"
461,"gene56005","56005","MYDGF","FM_06","scGPT"
462,"gene8536","8536","CAMK1","FM_13","scGPT"
463,"gene10219","10219","KLRG1","FM_04","scGPT"
464,"gene5052","5052","PRDX1","FM_10","scGPT"
465,"gene838","838","CASP5","FM_16","scGPT"
466,"gene682","682","BSG","FM_08","scGPT"
467,"gene3164","3164","NR4A1","FM_07","scGPT"
468,"gene1475","1475","CSTA","FM_12","scGPT"
469,"gene5610","5610","EIF2AK2","FM_09","scGPT"
470,"gene6352","6352","CCL5","FM_04","scGPT"
471,"gene2634","2634","GBP2","FM_09","scGPT"
472,"gene5721","5721","PSME2","FM_09","scGPT"
473,"gene127933","127933","UHMK1","FM_08","scGPT"
474,"gene6168","6168","RPL37A","FM_05","scGPT"
475,"gene3115","3115","HLA-DPB1","FM_14","scGPT"
476,"gene8718","8718","TNFRSF25","FM_03","scGPT"
477,"gene80727","80727","TTYH3","FM_13","scGPT"
478,"gene221472","221472","FGD2","FM_13","scGPT"
479,"gene1350","1350","COX7C","FM_10","scGPT"
480,"gene6641","6641","SNTB1","FM_17","scGPT"
481,"gene4900","4900","NRGN","FM_03","scGPT"
482,"gene5141","5141","PDE4A","FM_03","scGPT"
483,"gene5027","5027","P2RX7","FM_03","scGPT"
484,"gene219333","219333","USP12","FM_03","scGPT"
